SampleSize,TurnLimit,PlayerID,AverageVictoryPoints,VictoryPointsVariance,AverageMonsterKills,AverageMonsterAttempts,KillSuccessRate(%),WinPercentage(%),AverageCombat,AverageAlchemy,AverageDefence,AverageSpeciality,AvgSpecialityUse,AverageTurns,VarianceTurns
4,50,0,4.75,0.25,4.75,5.50,86.36,75.00,2.25,1.50,2.00,1.75,33.50,32.86
4,50,1,3.75,1.58,3.75,4.75,78.95,25.00,1.50,3.75,2.00,1.50,33.50,32.86


## First Test AI vs AI

1000,50,0,4.18,1.37,4.07,4.86,83.82,59.60,1.97,2.58,2.03,1.90,30.47,20.27
1000,50,1,3.65,2.01,3.51,4.25,82.67,40.40,1.97,2.62,2.09,1.93,30.47,20.27

## 5000 
10,50,0,3.80,2.40,3.60,4.20,85.71,40.00,2.00,3.60,2.10,1.70,0.00,29.30,6.54
10,50,1,4.50,0.50,4.30,5.60,76.79,60.00,2.40,2.60,2.20,1.90,0.00,29.30,6.54
100,50,0,4.43,0.97,4.36,5.22,83.52,69.00,1.99,2.28,1.93,1.97,0.00,31.23,17.77
100,50,1,3.33,2.12,3.18,3.95,80.51,31.00,2.11,2.69,2.05,1.96,0.00,31.23,17.77
100,50,0,4.12,1.08,3.99,4.72,84.53,50.00,1.96,2.66,2.05,1.98,0.00,31.44,17.53
100,50,1,3.84,1.85,3.75,4.59,81.70,50.00,1.94,2.73,2.14,1.95,0.00,31.44,17.53
10,50,0,4.50,0.50,4.50,5.20,86.54,60.00,2.20,2.70,2.30,2.00,0.00,30.80,19.75
10,50,1,3.70,2.01,3.70,4.40,84.09,40.00,2.50,3.20,2.60,2.40,0.00,30.80,19.75
10,50,0,4.00,1.11,3.70,4.10,90.24,40.00,2.30,3.60,2.40,2.20,0.00,31.90,22.83
10,50,1,3.90,2.54,3.60,4.10,87.80,60.00,2.00,3.20,2.30,1.90,0.00,31.90,22.83
10,50,0,4.60,0.93,4.20,4.80,87.50,80.00,2.00,3.80,2.10,1.70,4.80,27.60,12.25
10,50,1,3.30,1.34,3.20,4.30,74.42,20.00,1.90,2.40,1.80,1.90,3.20,27.60,12.25



## New 1000 Test -  Bear First - Wolf Second
1000,50,0,4.42,0.97,4.33,5.25,82.45,67.80,1.95,2.41,1.93,1.84,5.25,27.96,16.28
1000,50,1,3.38,2.13,3.29,4.06,80.88,32.20,1.98,2.52,2.04,1.85,2.68,27.96,16.28



## Bear
1000,50,0,5.00,0.00,4.92,5.76,85.42,100.00,1.82,2.19,1.86,1.77,5.76,25.20,12.69

## Wolf
1000,50,0,5.00,0.00,4.93,5.75,85.72,100.00,1.83,2.34,1.97,1.79,4.24,25.89,13.99


## 1000 Bear Second - Wolf First
1000,50,0,3.84,1.68,3.72,4.56,81.62,45.50,1.98,2.60,2.06,1.92,3.28,29.52,16.04
1000,50,1,4.12,1.36,4.03,4.95,81.36,54.50,1.99,2.40,1.97,1.92,4.95,29.52,16.04


## Player vs AI Test (Bear AI vs Human Wolf)

1,50,0,5.00,0.00,5.00,5.00,100.00,100.00,2.00,4.00,2.00,1.00,5.00,26.00,0.00
1,50,1,2.00,0.00,2.00,7.00,28.57,0.00,2.00,2.00,2.00,1.00,0.00,26.00,0.00



1,50,0,5.00,0.00,5.00,7.00,71.43,100.00,3.00,3.00,3.00,3.00,7.00,26.00,0.00
1,50,1,4.00,0.00,4.00,7.00,57.14,0.00,3.00,4.00,3.00,3.00,0.00,26.00,0.00

1,50,0,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,2.00,0.00,18.00,0.00
1,50,1,5.00,0.00,4.00,5.00,80.00,100.00,2.00,4.00,2.00,2.00,0.00,18.00,0.00


//Monster
1,50,0,5.00,0.00,5.00,5.00,100.00,100.00,2.00,4.00,2.00,1.00,5.00,26.00,0.00
1,50,0,5.00,0.00,5.00,7.00,71.43,100.00,3.00,3.00,3.00,3.00,7.00,26.00,0.00
1,50,0,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,2.00,0.00,18.00,0.00

AVG//
1,50,0,3.33,0.00,3.33,4.00,57.14,66.67,2.00,2.33,2.00,2.00,4.00,23.33,0.00


//Human
1,50,1,2.00,0.00,2.00,7.00,28.57,0.00,2.00,2.00,2.00,1.00,0.00,26.00,0.00
1,50,1,4.00,0.00,4.00,7.00,57.14,0.00,3.00,4.00,3.00,3.00,0.00,26.00,0.00
1,50,1,5.00,0.00,4.00,5.00,80.00,100.00,2.00,4.00,2.00,2.00,0.00,18.00,0.00

AVG//
1,50,0,3.33,0.00,3.33,4.00,57.14,66.67,2.00,2.33,2.00,2.00,4.00,23.33,0.00
1,50,1,3.67,0.00,3.33,6.33,55.24,33.33,2.33,3.33,2.33,2.00,0.00,23.33,0.00

//Human Going First - As Wolf

3,50,0,5.00,0.00,1.00,1.67,60.00,100.00,4.00,4.00,4.00,4.00,0.00,15.67,0.27
3,50,1,1.33,2.33,1.33,2.00,66.67,0.00,1.33,2.67,1.33,1.33,2.00,15.67,0.27





///// New Tests ////// - Used in Report

AI ONLY 
Bear
1000,50,0,5.00,0.00,4.96,5.83,85.02,100.00,1.91,1.95,1.58,1.91,5.83,24.75,11.70
Wolf
1000,50,0,5.00,0.00,4.91,5.76,85.15,99.70,1.98,2.46,2.00,2.18,4.18,27.73,14.74

AI VS AI
(Bear First - Then Wolf)
Baer
1000,50,0,4.42,1.03,4.36,5.23,83.22,68.80,2.05,2.35,1.89,2.15,5.23,26.76,13.85
Wolf
1000,50,1,3.34,2.08,3.27,3.98,82.11,31.20,2.06,2.41,2.01,2.19,2.91,26.76,13.85

(Wolf First - Then Bear)
Wolf
1000,50,0,3.71,1.80,3.61,4.32,83.55,40.40,2.16,2.65,2.13,2.31,3.40,29.26,15.76
Bear
1000,50,1,4.21,1.33,4.14,5.00,82.79,59.60,2.14,2.58,2.00,2.23,5.00,29.26,15.76


// Human vs AI (Human Bear - Second ) 
AI WOLF
3,50,0,3.67,0.33,3.33,4.33,76.92,0.00,2.00,4.00,2.00,2.00,3.33,24.00,15.20
BEAR HUMAN
3,50,1,5.00,0.00,3.67,7.00,52.38,100.00,3.00,3.00,3.00,2.67,0.00,24.00,15.20

// (Human Bear - First )
Human Bear
3,50,0,5.00,0.00,5.00,8.33,60.00,100.00,2.00,1.67,2.33,1.67,0.00,26.00,0.80
Wolf AI
3,50,1,3.67,0.33,3.00,4.00,75.00,0.00,2.67,3.67,2.00,2.33,2.67,26.00,0.80
